Month	Primary Energy Consumed by the Residential Sector	Total Energy Consumed by the Residential Sector	Primary Energy Consumed by the Commercial Sector	Total Energy Consumed by the Commercial Sector	Primary Energy Consumed by the Industrial Sector	Total Energy Consumed by the Industrial Sector	Primary Energy Consumed by the Transportation Sector	Total Energy Consumed by the Transportation Sector	Primary Energy Consumed by the Electric Power Sector	Energy Consumption Balancing Item	Primary Energy Consumption Total
2013 June	245.02	1486.996	188.043	1424.001	1674.797	2560.838	2235.525	2242.245	3370.695	2.014	7716.093
2013 July	235.649	1731.499	189.094	1512.912	1753.038	2656.517	2350.142	2356.888	3729.894	5.367	8263.184
2013 August	236.444	1656.438	195.391	1502.232	1733.49	2636.575	2354.825	2361.458	3636.552	4.173	8160.875
2013 September	247.619	1454.119	201.408	1377.984	1755	2579.99	2212.021	2218.241	3214.286	0.79	7631.123
2013 October	354.343	1350.89	264.547	1392.233	1827.168	2663.358	2303.559	2309.513	2966.377	-2.264	7713.73
2013 November	665.508	1696.867	415.19	1504.282	1862.408	2701.277	2219.252	2225.301	2965.37	-2.34	8125.388
2013 December	1020.8	2382.33	556.046	1704.281	1921.386	2745.563	2220.4	2227.568	3341.11	0.853	9060.596
2014 January	1237.881	2774.254	671.937	1865.976	1946.896	2787.366	2143.69	2151.157	3578.349	4.412	9583.165
2014 February	1038.089	2320.909	586.827	1628.783	1722.761	2475.759	1985.899	1992.887	3084.762	2.502	8420.841
2014 March	881.202	2063.582	513.101	1620.285	1780.923	2614.552	2213.322	2220.034	3129.905	0.144	8518.596
2014 April	490.848	1422.352	313.528	1347.672	1743.64	2556.2	2220.322	2226.778	2784.665	-2.742	7550.259
2014 May	343.2	1348.019	243.645	1394.776	1714.135	2610.378	2282.154	2288.93	3058.969	-0.969	7641.134
2014 June	257.463	1495.962	203.987	1446.405	1675.285	2574.514	2248.917	2255.309	3386.539	2.416	7774.607
2014 July	244.238	1665.862	198.01	1499.351	1764.875	2682.175	2369.792	2376.481	3646.954	3.711	8227.58
2014 August	239.582	1639.246	198.774	1493.056	1767.659	2693.094	2373.376	2379.989	3625.994	3.861	8209.246
2014 September	266.442	1447.651	216.919	1391.353	1760.56	2596.898	2205.714	2211.856	3198.123	0.656	7648.413
2014 October	365.923	1341.084	275.42	1399.637	1827.129	2672.549	2339.621	2345.836	2951.013	-2.728	7756.379
2014 November	713.685	1759.394	445.162	1540.901	1819.232	2671.099	2218.332	2225.029	3000.011	-2.877	8193.545
2014 December	902.979	2144.739	517.863	1628.761	1887.203	2710.815	2305.693	2312.131	3182.709	-2.842	8793.604
2015 January	1134.269	2556.479	639.426	1786.661	1945.492	2744.252	2194.329	2201.259	3375.135	1.416	9290.067
2015 February	1080.922	2348.592	614.313	1694.937	1772.699	2535.817	2024.711	2031.898	3118.6	2.682	8613.927
2015 March	794.652	1959.252	471.312	1545.436	1838.708	2609.958	2314.846	2321.639	3016.767	-0.521	8435.764
2015 April	445.489	1348.897	295.582	1340.102	1743.105	2527.264	2252.493	2258.75	2738.345	-2.137	7472.876
2015 May	304.817	1308.397	222.726	1377.207	1767.359	2621.503	2340.043	2346.505	3018.668	-0.295	7653.318
2015 June	234.001	1494.773	188.38	1440.599	1755.187	2635.881	2332.274	2338.706	3400.116	3.103	7913.062
2015 July	224.505	1745.565	190.054	1533.606	1816.831	2710.108	2445.207	2452.008	3764.691	5.664	8446.951
2015 August	222.302	1699.175	193.587	1509.508	1799.59	2679.939	2427.365	2433.789	3679.567	5.526	8327.937
2015 September	221.55	1459.789	193.438	1403.181	1710.847	2526.57	2297.484	2303.599	3269.821	4.041	7697.181
2015 October	358.449	1340.235	278.629	1396.019	1738.338	2540.155	2352.157	2358.484	2907.32	-0.57	7634.323
2015 November	572.504	1524.243	372.806	1443.62	1714.864	2501.714	2218.459	2224.7	2815.643	-1.24	7693.037
2015 December	776.875	1911.706	450.605	1537.185	1823.448	2599.431	2321.019	2327.372	3003.746	-0.848	8374.846
2016 January	1092.019	2442.622	622.415	1761.663	1894.143	2681.693	2198.944	2205.753	3284.209	2.645	9094.376
2016 February	885.202	2030.687	524.572	1545.825	1790.918	2525.086	2133.051	2139.47	2907.324	-0.449	8240.618
2016 March	619.127	1611.85	390.134	1434.909	1803.216	2559.219	2375.652	2381.728	2799.577	-3.844	7983.863
2016 April	476.059	1367.875	314.146	1346.807	1677.729	2445.659	2295.268	2301.325	2698.465	-1.788	7459.879
2016 May	335.685	1318.049	247.843	1377.48	1688.055	2507.06	2386.014	2392.136	2937.128	-0.912	7593.812
2016 June	244.714	1556.826	201.355	1467.356	1678.01	2522.728	2406.89	2413.563	3429.504	4.243	7964.715
2016 July	235.748	1853.741	201.949	1560.16	1721.902	2597.373	2476.905	2483.743	3858.513	6.961	8501.977
2016 August	220.464	1803.756	199.098	1562.657	1826.026	2690.709	2483.884	2490.31	3817.96	5.235	8552.666
