CountryCode,SeriesCode,DESCRIPTION
AUS,SP.POP.65UP.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUS,SP.POP.AG00.FE.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG00.MA.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG01.FE.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG01.MA.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG02.FE.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG02.MA.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG03.FE.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG03.MA.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG04.FE.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG04.MA.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG05.FE.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.AG05.MA.IN,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.BRTH.MF,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
AUS,SP.POP.TOTL,Data sources : Australian Bureau of Statistics
AUS,SP.POP.TOTL.FE.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUT,SG.NOD.CONS,There is no nondiscrimination provision.
AUT,SP.DYN.CBRT.IN,Data sources : Eurostat
AUT,SP.DYN.CDRT.IN,Data sources : Eurostat
AUT,SP.DYN.LE00.FE.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.DYN.LE00.IN,Derived using male and female life expectancy
AUT,SP.DYN.LE00.MA.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.DYN.TFRT.IN,Data sources : Eurostat
AUT,SP.POP.TOTL,Data sources : Eurostat
AZE,SG.NOD.CONS,There is no nondiscrimination provision.
AZE,SG.POP.MIGR.FE.ZS,Includes Nagorno-Karabakh.
AZE,SH.XPD.PCAP.PP.KD,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PUBL.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SP.ADO.TFRT,Including Nagorno-Karabakh.
AZE,SP.DYN.CBRT.IN,"Data sources : State Statistical Committee, United Nations World Population Prospects"
AZE,SP.DYN.CDRT.IN,"Data sources : State Statistical Committee, United Nations World Population Prospects"
AZE,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AZE,SP.DYN.LE00.IN,Derived using male and female life expectancy
AZE,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AZE,SP.DYN.TFRT.IN,"Data sources : State Statistical Committee, Eurostat, United Nations World Population Prospects"
AZE,SP.POP.AG00.FE.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG00.MA.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG01.FE.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG01.MA.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG02.FE.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG02.MA.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG03.FE.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG03.MA.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG04.FE.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG04.MA.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG05.FE.IN,Including Nagorno-Karabakh.
AZE,SP.POP.AG05.MA.IN,Including Nagorno-Karabakh.
AZE,SP.POP.BRTH.MF,Including Nagorno-Karabakh.
AZE,SP.POP.TOTL,"Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
BDI,SH.XPD.PCAP.PP.KD,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.PUBL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.LE00.IN,Derived using male and female life expectancy
BDI,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BDI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BEL,SH.XPD.PCAP.PP.KD,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PUBL.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
